bedrooms,floors,yr_built,price
4,1.5,1914,1450000
3,1,1967,445000
4,1,1978,260000
5,2,1926,822500
4,2,2004,430000
3,1,1986,212000
4,1,1986,660500
3,1.5,1989,784000
3,2,2014,453246
4,3,2005,675000
3,1,1956,199000
4,1,1968,220000
4,1,1968,452000
2,1,1981,382500
3,3,2014,519950
2,1,1925,665000
5,1,1968,527700
3,1,1962,205000
3,1,1923,420000
4,1,1961,500000
4,2,1994,921500
4,2,1905,890000
2,2,2007,430000
5,1,1960,258000
3,1,1947,511000
3,2,1990,532170
3,1.5,1947,560000
3,1,1954,282950
4,2,2006,2250000
1,1,1942,350000
3,1,1967,215000
5,2,1996,650000
4,1,1967,320000
3,1.5,1916,247000
4,1,1968,320000
5,1,1962,255000
3,1,1962,438000
3,2,2000,900000
3,1,1979,441000
3,1,1975,420000
3,1,1976,370000
2,1,1949,269950
4,2,1999,807100
3,1,1979,653000
3,1,1964,371500
3,1,1954,284000
3,1,1978,272000
3,1.5,1955,313000
4,2,1984,917500
4,2,1980,673000
3,2,2008,425000
5,1,1986,399950
3,1,1901,385000
3,1,1975,269950
2,1,1949,330000
3,2,1988,260000
4,1.5,1925,470000
4,2,1961,589000
2,2,1996,163500
4,2,1993,835000
5,1,1986,1100000
4,1,1969,269000
3,2,1987,560000
4,1.5,1901,615000
3,1,1975,585188
3,1,1977,305000
3,1,1959,166950
3,1,1959,799000
3,1,1962,400000
3,1,1948,230000
3,2,2003,256883
4,1.5,1920,423000
3,2,2007,465000
3,2,1997,440000
3,1,1969,385000
3,1,1943,210000
3,2,1994,297000
3,1,1952,470000
3,1,1976,226500
3,1,1962,274250
4,1,1966,840000
3,2,2010,677900
3,1,1915,425000
2,1,1941,180250
6,2,1920,464000
4,2,1993,320000
3,2,2014,625504
4,1,1983,592500
3,2,2005,465000
4,2,1978,477000
2,1,1923,280000
5,1,1957,1510000
3,2,2000,445838
2,1,1947,1070000
2,1,1947,467000
4,2,1999,686000
3,1,1961,279950
4,2,1987,527000
3,1,1966,325000
3,2,1994,328000
3,1,1942,390000
2,1,2005,479950
4,1,1978,264950
3,1,1961,235000
3,2,2004,516500
2,2,1915,655000
4,1,1960,500000
6,1,1978,315000
2,1,1961,213000
3,1.5,1947,475000
5,2,1983,1030000
3,1,1976,416000
4,1.5,1904,410000
3,2,1993,800000
6,1,1965,472000
3,1,1968,225000
2,1,1940,210000
2,1.5,1925,455000
3,1,1954,225000
2,1,1918,480000
3,2,1990,363000
4,1,2000,2400000
2,1,1954,181000
4,1,1976,250000
3,1,1918,481000
3,1,1978,260000
4,2,2001,455000
3,2,1991,415000
3,1,1953,349500
3,2,1987,245000
2,1.5,1928,592500
4,1,1955,385000
3,1,1974,315000
3,1,1979,255000
4,2,2006,693000
3,1.5,1911,780000
3,1,1960,237000
3,2,1979,525000
2,1,1930,425000
1,1,1936,369900
4,2,1988,290000
3,1,1954,285000
2,1,1937,415000
3,1,1979,272500
4,1.5,1982,2900000
4,2,1989,1370000
2,1,1939,436000
3,1,1967,210000
3,1,1961,236000
3,1,1954,331000
3,2,2006,365000
3,1,1960,450000
4,2,2014,770000
4,1,1997,455000
3,1,1908,405000
4,1,1969,304900
2,1,1931,170000
5,2,1905,2050000
4,2,2005,780000
3,1,1988,330000
4,2,1992,370000
5,1,1979,467000
3,1,1980,405000
5,1,1985,675000
2,1,1954,500000
4,2,1968,389999
4,1,1975,630000
4,2,1992,360000
4,2,1986,580000
3,2,1929,550000
4,2,1994,879000
3,1,1993,265000
3,2,1990,446500
3,1,1963,404000
3,1,1957,267500
4,1,2002,3080000
3,2,1998,335000
3,1,1948,576000
3,2,2006,208633
3,1,1964,315000
3,1,1913,725000
4,1,1965,550000
4,2,1984,610750
2,1.5,1908,550700
4,2,1960,665000
4,1.5,1928,834000
5,1.5,1915,201000
5,2,1921,2380000
4,1,1997,1380000
4,1,1997,1400000
4,1,1979,305000
3,1,1948,487000
3,1,1988,390000
2,1,1916,548000
4,1,1943,268750
5,2,2013,819900
3,2,1984,520000
3,1,2003,230000
3,1,1969,240000
2,1,1922,232000
2,1,1922,240500
3,2,1987,274975
4,1.5,1922,740000
3,1,1952,186375
3,1,1977,790000
4,2,1951,880000
6,2,1955,279000
3,1,1991,295000
2,1,1924,640000
4,2,1968,940000
4,2,2003,260000
3,1,2004,559900
4,1.5,1911,791500
3,1,1954,265000
3,1,1954,245000
4,2,1962,485000
4,2,2010,684000
3,1,1957,425000
4,1,1991,309600
4,2,2002,552250
4,1,1943,165000
4,1,1943,239900
2,1,1930,320000
3,1,1987,206600
4,1,1973,387000
1,1,1967,299000
4,2,1965,855000
3,1,1954,315000
2,1,1907,437500
4,1,1969,252000
4,1,1955,375000
4,2,2005,300000
4,1.5,1954,420000
3,1,1928,900000
3,2,2000,679900
3,2,1992,463000
5,2,1978,380000
4,2,1994,329500
3,1,2013,604950
5,1,1966,795000
3,2,1994,465000
4,2,2002,673000
4,2,1991,810000
4,1,1989,785000
4,1,1986,338000
3,2,1993,280000
4,1,1954,315000
4,1,1954,530000
5,2,2004,380000
3,2,1994,297000
4,2,2004,730000
3,1,1940,450000
3,1,1997,275000
4,2,1960,595000
3,1.5,1904,435000
2,1,1954,270000
3,2,1986,950000
4,2,2001,389000
4,1,1968,560000
5,2,1998,1350000
4,2,1969,799000
3,1,1983,365500
3,1,1979,252350
4,2,1993,403950
4,1,1954,385000
4,1.5,1957,345000
3,2,1979,490000
3,2,2005,330000
4,2,1953,927000
4,2,1983,1120000
2,1,1950,330000
5,1,1958,530000
4,1,1962,365000
3,1.5,1909,378750
4,1.5,1968,269900
